Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,,
02-04-2018,POWERGRID,EQ,193.25,192.9,195.2,192.9,194.8,194.9,194.41,3837160,7.46E+13,75736,3100292,0.808,,
03-04-2018,POWERGRID,EQ,194.9,194.8,199.5,194.55,198.65,198.55,197.64,3526792,6.97E+13,79311,2406461,0.6823,,
04-04-2018,POWERGRID,EQ,198.55,198.95,199.9,194.65,196.35,196.05,197.41,5450232,1.08E+14,111061,4259331,0.7815,,
05-04-2018,POWERGRID,EQ,196.05,197.9,198.45,196,196.1,196.25,196.88,4878846,9.61E+13,41666,3940372,0.8076,,
06-04-2018,POWERGRID,EQ,196.25,197.5,197.9,195.75,195.95,195.95,196.3,4471171,8.78E+13,45739,3707876,0.8293,,
09-04-2018,POWERGRID,EQ,195.95,196,196.5,195.2,195.8,195.85,195.98,2593376,5.08E+13,24446,1985627,0.7657,,
10-04-2018,POWERGRID,EQ,195.85,196.85,198.65,196.3,197,196.95,197.15,4253691,8.39E+13,40068,3147842,0.74,,
11-04-2018,POWERGRID,EQ,196.95,198,198.2,195.8,197,197,196.91,3257053,6.41E+13,20247,2537432,0.7791,,
12-04-2018,POWERGRID,EQ,197,197.2,197.9,196.1,196.4,196.35,196.76,1990005,3.92E+13,26536,1357602,0.6822,,
13-04-2018,POWERGRID,EQ,196.35,196.5,198,196.4,197.95,197.5,197.03,1933883,3.81E+13,38883,1433212,0.7411,, 
16-04-2018,POWERGRID,EQ,197.5,197.25,200.9,196.8,199.55,199.2,198.79,5415997,1.08E+14,48297,3680839,0.6796,,
17-04-2018,POWERGRID,EQ,199.2,203.2,207.15,202.2,204.9,204.9,204.95,13195105,2.70E+14,59327,7930188,0.601,,
18-04-2018,POWERGRID,EQ,204.9,205.1,205.8,204.35,205,205,205.04,4957945,1.02E+14,36947,3863882,0.7793,,
19-04-2018,POWERGRID,EQ,205,205.5,208.9,204.95,207.6,208.1,206.77,5978038,1.24E+14,54180,4631996,0.7748,,
20-04-2018,POWERGRID,EQ,208.1,208.8,209.6,206.2,207.5,207.2,207.55,3063725,6.36E+13,33837,2266821,0.7399,,
23-04-2018,POWERGRID,EQ,207.2,207.9,207.9,205.2,207.05,206.8,206.47,2328743,4.81E+13,29438,1373671,0.5899,,
24-04-2018,POWERGRID,EQ,206.8,208.2,208.2,204.8,206.6,206.45,206.23,2021988,4.17E+13,29684,979267,0.4843,,
25-04-2018,POWERGRID,EQ,206.45,206.4,210,203.9,209.25,207.35,206.07,3332687,6.87E+13,26468,2162834,0.649,,
26-04-2018,POWERGRID,EQ,207.35,207.55,208.7,206.2,207.5,207,207.19,4471983,9.27E+13,40526,3070437,0.6866,,
27-04-2018,POWERGRID,EQ,207,207.5,208.7,207.1,207.95,207.9,208,4146524,8.62E+13,50598,3495357,0.843,,
30-04-2018,POWERGRID,EQ,207.9,207.55,209,207.05,207.8,207.85,207.99,3175241,6.60E+13,23601,2787585,0.8779,,
02-05-2018,POWERGRID,EQ,207.85,207,209.1,204.7,204.7,205.15,207.41,4056134,8.41E+13,51088,2746298,0.6771,,
03-05-2018,POWERGRID,EQ,205.15,205,207.55,203.25,206.25,206.45,205.6,2127777,4.37E+13,24915,1345096,0.6322,,
04-05-2018,POWERGRID,EQ,206.45,207,207.8,204.5,207.25,207.4,206.96,12637368,2.62E+14,31626,11714736,0.927,,
07-05-2018,POWERGRID,EQ,207.4,207,210,207,209.95,209.3,208.88,3377187,7.05E+13,49826,2376747,0.7038,,
08-05-2018,POWERGRID,EQ,209.3,209.5,214,208.85,212.5,212.75,211.64,11108293,2.35E+14,70975,7923406,0.7133,,
09-05-2018,POWERGRID,EQ,212.75,212,213.7,211.15,212,211.85,211.83,7838063,1.66E+14,49172,6646930,0.848,,
10-05-2018,POWERGRID,EQ,211.85,211.2,211.8,204.7,207.9,208,206.62,7859920,1.62E+14,82000,5154862,0.6558,,
11-05-2018,POWERGRID,EQ,208,208.8,209,205.95,207.3,206.85,208.03,6012540,1.25E+14,29528,4520590,0.7519,,
14-05-2018,POWERGRID,EQ,206.85,206,209.8,206,209,209.05,208.8,7853699,1.64E+14,28648,5720546,0.7284,,
15-05-2018,POWERGRID,EQ,209.05,209,216,208.65,214,213.85,214.24,31522977,6.75E+14,112965,26086290,0.8275,,
16-05-2018,POWERGRID,EQ,213.85,214.4,215,212.55,213.5,213.45,213.6,10228377,2.18E+14,68969,7809471,0.7635,,
17-05-2018,POWERGRID,EQ,213.45,212.5,216,212.3,213.45,213.45,213.77,10069279,2.15E+14,51779,7641653,0.7589,,
18-05-2018,POWERGRID,EQ,213.45,213.7,215,212.1,212.9,212.95,213.42,10358438,2.21E+14,46986,8126778,0.7846,,
21-05-2018,POWERGRID,EQ,212.95,214.45,214.45,211.6,212.95,212.65,212.88,9376866,2.00E+14,34305,7608946,0.8115,,
22-05-2018,POWERGRID,EQ,212.65,213.75,214,209.5,210.4,210.75,212.13,5293836,1.12E+14,52591,3853871,0.728,,
23-05-2018,POWERGRID,EQ,210.75,211,212.45,209.7,211.05,211.3,211.8,10248747,2.17E+14,83855,8383823,0.818,,
24-05-2018,POWERGRID,EQ,211.3,212.4,212.4,211.4,211.8,211.75,211.87,9709004,2.06E+14,88932,7703865,0.7935,,
25-05-2018,POWERGRID,EQ,211.75,210.25,213.05,210.25,211.95,212.05,212.05,16926167,3.59E+14,90564,13368613,0.7898,,
28-05-2018,POWERGRID,EQ,212.05,212.25,212.5,206.3,206.9,206.95,209.78,9837171,2.06E+14,82997,6871553,0.6985,,
29-05-2018,POWERGRID,EQ,206.95,208.25,209.7,205.75,206.55,207,207.5,8859017,1.84E+14,104980,5937525,0.6702,,
30-05-2018,POWERGRID,EQ,207,207,211.95,207,209.5,209.5,209.88,20259356,4.25E+14,126973,14431574,0.7123,,
31-05-2018,POWERGRID,EQ,209.5,209.9,212.7,201.6,209.35,209.45,209.19,154323307,3.23E+15,186117,129157804,0.8369,,
01-06-2018,POWERGRID,EQ,209.45,206.9,207.9,200.35,204.7,205.95,204.25,9616721,1.96E+14,68594,5918398,0.6154,,
04-06-2018,POWERGRID,EQ,205.95,206.95,206.95,200.6,202.55,201.7,203.36,8131730,1.65E+14,82718,5469095,0.6726,,
05-06-2018,POWERGRID,EQ,201.7,200.8,201.15,195.1,198.15,198.85,197.83,7756212,1.53E+14,80947,4074069,0.5253,,
06-06-2018,POWERGRID,EQ,198.85,197.5,203.25,197.5,202,201.1,200.63,4573416,9.18E+13,34595,3001778,0.6564,,
07-06-2018,POWERGRID,EQ,201.1,201.45,203.95,198.25,202.8,202.75,201.26,4321986,8.70E+13,37339,2743744,0.6348,,
08-06-2018,POWERGRID,EQ,202.75,200.9,201.2,196.75,197.85,197.9,197.85,6991475,1.38E+14,45099,4760928,0.681,,
11-06-2018,POWERGRID,EQ,197.9,198.6,199.25,194.5,195.65,195.7,195.48,11063276,2.16E+14,89915,8161544,0.7377,,
12-06-2018,POWERGRID,EQ,195.7,196.45,196.45,193.4,194.9,195.05,194.59,7546970,1.47E+14,63848,5473778,0.7253,,
13-06-2018,POWERGRID,EQ,195.05,196.3,199.35,195.1,197.7,198.15,197.82,6112507,1.21E+14,68819,2588893,0.4235,,
14-06-2018,POWERGRID,EQ,198.15,198.2,199.35,196.6,199,198.85,198.04,4052919,8.03E+13,56567,2792607,0.689,,
